afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp,alang
S01E02_chunk_001	de	Subtitles Data	conllu_chunks	8.863636363636363	0.1	0.007692307692307693	0.002564102564102564	0.022727272727272728	0.0	0.045454545454545456	0.0	0.0	0.1590909090909091	0.09090909090909091	0.11363636363636363	0.30256410256410254	0.9915966386554622	0.005128205128205128	0.13636363636363635	1.2285714285714286	0.0	0.0	0.11428571428571428	0.0	0.0	0.045454545454545456	0.0	0.022727272727272728	0.09090909090909091	0.045454545454545456	0.0	0.0	0.03125	0.0	0.13636363636363635	0.25	0.7727272727272727	0.0	0.3333333333333333	2.350468155581792	0.9707915190869737	0.022727272727272728	0.1590909090909091	0.0	0.022727272727272728	0.0	0.09090909090909091	0.045454545454545456,
S01E02_chunk_002	de	Subtitles Data	conllu_chunks	9.931818181818182	0.09839816933638444	0.013729977116704805	0.0	0.11363636363636363	0.0	0.09090909090909091	0.0	0.0	0.18181818181818182	0.29545454545454547	0.1590909090909091	0.34553775743707094	0.9805194805194806	0.009153318077803204	0.09090909090909091	1.0888888888888888	0.08888888888888889	0.0	0.08888888888888889	0.0	0.0	0.045454545454545456	0.09090909090909091	0.022727272727272728	0.022727272727272728	0.022727272727272728	0.09090909090909091	0.0	0.0196078431372549	0.0196078431372549	0.18181818181818182	0.3409090909090909	0.7045454545454546	0.0	0.43902439024390244	2.3446005253659004	0.9046039280832061	0.03409090909090909	0.10227272727272728	0.0	0.011363636363636364	0.0	0.125	0.045454545454545456,
S01E02_chunk_003	de	Subtitles Data	conllu_chunks	9.404255319148936	0.0746606334841629	0.020361990950226245	0.0022624434389140274	0.14893617021276595	0.02127659574468085	0.0425531914893617	0.0	0.0	0.14893617021276595	0.19148936170212766	0.3191489361702128	0.32805429864253394	0.9731543624161074	0.0022624434389140274	0.1276595744680851	1.2045454545454546	0.045454545454545456	0.045454545454545456	0.022727272727272728	0.02127659574468085	0.0	0.10638297872340426	0.02127659574468085	0.02127659574468085	0.0425531914893617	0.06382978723404255	0.02127659574468085	0.0	0.0	0.0	0.14893617021276595	0.3404255319148936	0.7021276595744681	0.004524886877828055	0.43661971830985913	2.521250498910073	0.938156642411962	0.031914893617021274	0.07446808510638298	0.010638297872340425	0.07446808510638298	0.010638297872340425	0.1595744680851064	0.06382978723404255,
S01E02_chunk_004	de	Subtitles Data	conllu_chunks	8.695652173913043	0.1075	0.025	0.005	0.2391304347826087	0.0	0.043478260869565216	0.0	0.0	0.1956521739130435	0.10869565217391304	0.10869565217391304	0.3125	1.0	0.0075	0.15217391304347827	1.1590909090909092	0.022727272727272728	0.0	0.022727272727272728	0.0	0.021739130434782608	0.08695652173913043	0.0	0.0	0.08695652173913043	0.043478260869565216	0.043478260869565216	0.021739130434782608	0.0	0.0	0.06521739130434782	0.13043478260869565	0.8913043478260869	0.0025	0.3717948717948718	2.4511174815522643	0.9588077984817115	0.03623188405797101	0.18478260869565216	0.007246376811594202	0.09782608695652174	0.0	0.021739130434782608	0.0,
S01E02_chunk_005	de	Subtitles Data	conllu_chunks	8.333333333333334	0.11733333333333333	0.008	0.005333333333333333	0.08888888888888889	0.0	0.15555555555555556	0.0	0.0	0.1111111111111111	0.2	0.17777777777777778	0.3333333333333333	1.0	0.016	0.2	1.1914893617021276	0.0	0.0	0.02127659574468085	0.0	0.0	0.044444444444444446	0.044444444444444446	0.0	0.044444444444444446	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.0	0.0	0.17777777777777778	0.24444444444444444	0.7777777777777778	0.0026666666666666666	0.21794871794871795	2.23955192955193	0.881891811891812	0.022222222222222223	0.16666666666666666	0.0	0.08888888888888889	0.0	0.13333333333333333	0.011111111111111112,
S01E02_chunk_006	de	Subtitles Data	conllu_chunks	8.88888888888889	0.0825	0.025	0.0025	0.15555555555555556	0.0	0.044444444444444446	0.0	0.022222222222222223	0.2222222222222222	0.1111111111111111	0.17777777777777778	0.32	0.9922480620155039	0.0075	0.06666666666666667	1.131578947368421	0.02631578947368421	0.02631578947368421	0.02631578947368421	0.0	0.0	0.1111111111111111	0.044444444444444446	0.0	0.044444444444444446	0.0	0.044444444444444446	0.022222222222222223	0.0	0.029411764705882353	0.044444444444444446	0.28888888888888886	0.7111111111111111	0.0075	0.2647058823529412	2.343544973544973	0.8740564373897706	0.044444444444444446	0.11851851851851851	0.0	0.11851851851851851	0.0	0.07777777777777778	0.04074074074074074,
S01E02_chunk_007	de	Subtitles Data	conllu_chunks	8.465116279069768	0.12637362637362637	0.01098901098901099	0.0027472527472527475	0.18604651162790697	0.0	0.023255813953488372	0.0	0.0	0.13953488372093023	0.11627906976744186	0.11627906976744186	0.33791208791208793	0.9919354838709677	0.019230769230769232	0.20930232558139536	1.1666666666666667	0.023809523809523808	0.0	0.0	0.0	0.0	0.13953488372093023	0.046511627906976744	0.0	0.046511627906976744	0.023255813953488372	0.023255813953488372	0.06976744186046512	0.06976744186046512	0.0	0.23255813953488372	0.13953488372093023	0.8837209302325582	0.005494505494505495	0.2894736842105263	2.4141643620097795	1.0244229968238174	0.0	0.3062015503875969	0.0	0.05426356589147286	0.0	0.05813953488372093	0.0,
S01E02_chunk_008	de	Subtitles Data	conllu_chunks	9.195652173913043	0.10638297872340426	0.018912529550827423	0.004728132387706856	0.13043478260869565	0.043478260869565216	0.043478260869565216	0.021739130434782608	0.0	0.1956521739130435	0.1956521739130435	0.17391304347826086	0.3215130023640662	0.9855072463768116	0.004728132387706856	0.17391304347826086	1.2380952380952381	0.047619047619047616	0.0	0.047619047619047616	0.0	0.021739130434782608	0.13043478260869565	0.06521739130434782	0.0	0.021739130434782608	0.06521739130434782	0.021739130434782608	0.021739130434782608	0.02702702702702703	0.05405405405405406	0.2826086956521739	0.2391304347826087	0.7608695652173914	0.002364066193853428	0.43820224719101125	2.344242853510588	1.0851957793033307	0.010869565217391304	0.20652173913043478	0.010869565217391304	0.03260869565217391	0.010869565217391304	0.03260869565217391	0.0,
S01E02_chunk_009	de	Subtitles Data	conllu_chunks	8.522727272727273	0.09333333333333334	0.013333333333333334	0.0026666666666666666	0.09090909090909091	0.045454545454545456	0.045454545454545456	0.0	0.0	0.3409090909090909	0.09090909090909091	0.22727272727272727	0.296	1.0	0.010666666666666666	0.18181818181818182	1.64	0.04	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.022727272727272728	0.022727272727272728	0.045454545454545456	0.0	0.045454545454545456	0.0	0.02040816326530612	0.2727272727272727	0.18181818181818182	0.8409090909090909	0.0	0.2037037037037037	2.256099960645416	0.8291088646202284	0.03409090909090909	0.09469696969696968	0.0	0.04924242424242424	0.0	0.03787878787878787	0.03409090909090909,
S01E02_chunk_010	de	Subtitles Data	conllu_chunks	9.075	0.12947658402203857	0.011019283746556474	0.008264462809917356	0.15	0.0	0.05	0.0	0.025	0.175	0.025	0.15	0.325068870523416	0.9915966386554622	0.01652892561983471	0.2	1.0465116279069768	0.09302325581395349	0.0	0.023255813953488372	0.0	0.0	0.075	0.175	0.025	0.0	0.125	0.05	0.025	0.045454545454545456	0.0	0.225	0.35	0.7	0.0	0.24324324324324326	2.398915945165945	1.0610091991341994	0.0375	0.21666666666666665	0.0	0.0125	0.0	0.1	0.05833333333333333,
S01E02_chunk_011	de	Subtitles Data	conllu_chunks	8.487179487179487	0.16314199395770393	0.012084592145015106	0.0	0.1282051282051282	0.02564102564102564	0.07692307692307693	0.0	0.0	0.05128205128205128	0.15384615384615385	0.07692307692307693	0.31419939577039274	1.0	0.012084592145015106	0.1282051282051282	1.0909090909090908	0.0	0.022727272727272728	0.022727272727272728	0.0	0.0	0.15384615384615385	0.02564102564102564	0.0	0.02564102564102564	0.07692307692307693	0.0	0.0	0.034482758620689655	0.0	0.23076923076923078	0.358974358974359	0.6666666666666666	0.0	0.273972602739726	2.4124477374477378	0.9924630924630926	0.038461538461538464	0.15384615384615385	0.0	0.1282051282051282	0.0	0.11538461538461539	0.05128205128205128,
