afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
S01E02_chunk_001	es	Subtitles Data	conllu_chunks	11.720930232558139	0.03571428571428571	0.00992063492063492	0.015873015873015872	0.27906976744186046	0.0	0.0	0.0	0.0	0.23255813953488372	0.11627906976744186	0.20930232558139536	0.2916666666666667	0.9130434782608695	0.0	0.0	1.1851851851851851	0.0	0.0	0.0	0.0	0.0	0.32558139534883723	0.27906976744186046	0.0	0.27906976744186046	0.023255813953488372	0.0	0.0	0.0	0.0	0.4186046511627907	0.5581395348837209	0.5581395348837209	0.05357142857142857	0.62	2.5510850850082396	0.9710514979347133	0.0	0.07751937984496124	0.0	0.05426356589147286	0.0	0.05426356589147286	0.06976744186046512
S01E02_chunk_002	es	Subtitles Data	conllu_chunks	11.08695652173913	0.050980392156862744	0.00784313725490196	0.00980392156862745	0.15217391304347827	0.0	0.0	0.0	0.0	0.17391304347826086	0.2608695652173913	0.10869565217391304	0.35490196078431374	0.9476439790575916	0.0	0.0	0.9154929577464789	0.0	0.0	0.0	0.0	0.0	0.41304347826086957	0.21739130434782608	0.06521739130434782	0.06521739130434782	0.021739130434782608	0.0	0.0	0.0784313725490196	0.0	0.17391304347826086	0.8260869565217391	0.45652173913043476	0.052941176470588235	0.6212121212121212	2.517521297670039	0.814967720431107	0.03260869565217391	0.021739130434782608	0.0	0.050724637681159424	0.0	0.08695652173913043	0.17753623188405795
S01E02_chunk_003	es	Subtitles Data	conllu_chunks	11.041666666666666	0.04339622641509434	0.026415094339622643	0.013207547169811321	0.125	0.0	0.0	0.0	0.0	0.20833333333333334	0.1875	0.25	0.3339622641509434	0.9779005524861878	0.0	0.0	1.1403508771929824	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.20833333333333334	0.0	0.08333333333333333	0.0625	0.020833333333333332	0.0	0.0	0.0	0.25	0.5416666666666666	0.625	0.06415094339622641	0.6911764705882353	2.919890320395835	0.784995535295458	0.041666666666666664	0.10416666666666667	0.0	0.12152777777777779	0.0	0.048611111111111105	0.10069444444444446
S01E02_chunk_004	es	Subtitles Data	conllu_chunks	10.08695652173913	0.05818965517241379	0.036637931034482756	0.00646551724137931	0.1956521739130435	0.0	0.0	0.0	0.0	0.2391304347826087	0.21739130434782608	0.17391304347826086	0.3232758620689655	0.9803921568627451	0.0	0.0	1.0555555555555556	0.0	0.0	0.0	0.0	0.0	0.1956521739130435	0.17391304347826086	0.021739130434782608	0.06521739130434782	0.06521739130434782	0.0	0.0	0.027777777777777776	0.0	0.15217391304347827	0.6956521739130435	0.5434782608695652	0.04525862068965517	0.6140350877192983	2.6081356540738696	0.8962004052393068	0.043478260869565216	0.021739130434782608	0.0	0.07246376811594202	0.0	0.07246376811594202	0.13768115942028986
S01E02_chunk_005	es	Subtitles Data	conllu_chunks	10.673913043478262	0.05702647657841141	0.014256619144602852	0.020366598778004074	0.17391304347826086	0.0	0.0	0.0	0.0	0.17391304347826086	0.17391304347826086	0.1956521739130435	0.31771894093686354	0.9811320754716981	0.0	0.0	0.9838709677419355	0.0	0.0	0.0	0.0	0.0	0.41304347826086957	0.1956521739130435	0.06521739130434782	0.15217391304347827	0.0	0.043478260869565216	0.0	0.046511627906976744	0.0	0.2608695652173913	0.7608695652173914	0.5217391304347826	0.04480651731160896	0.5490196078431373	2.570268680594767	0.9738110922893529	0.005434782608695652	0.1757246376811594	0.0	0.11594202898550723	0.0	0.06340579710144927	0.1829710144927536
S01E02_chunk_006	es	Subtitles Data	conllu_chunks	10.652173913043478	0.06326530612244897	0.0163265306122449	0.02857142857142857	0.2391304347826087	0.0	0.0	0.0	0.0	0.10869565217391304	0.15217391304347827	0.21739130434782608	0.3020408163265306	0.9801324503311258	0.0	0.0	0.9622641509433962	0.0	0.0	0.0	0.0	0.0	0.34782608695652173	0.2391304347826087	0.043478260869565216	0.06521739130434782	0.043478260869565216	0.0	0.0	0.02702702702702703	0.0	0.1956521739130435	0.717391304347826	0.5	0.053061224489795916	0.52	2.6478391777304817	0.8687211339385251	0.10869565217391304	0.11956521739130435	0.0	0.03260869565217391	0.0	0.05434782608695652	0.09782608695652174
S01E02_chunk_007	es	Subtitles Data	conllu_chunks	9.804347826086957	0.037694013303769404	0.028824833702882482	0.017738359201773836	0.1956521739130435	0.0	0.0	0.0	0.0	0.1956521739130435	0.17391304347826086	0.17391304347826086	0.3458980044345898	0.9570552147239264	0.0	0.0	1.0384615384615385	0.0	0.0	0.0	0.0	0.0	0.2826086956521739	0.1956521739130435	0.08695652173913043	0.06521739130434782	0.08695652173913043	0.021739130434782608	0.0	0.05357142857142857	0.0	0.34782608695652173	0.5217391304347826	0.5652173913043478	0.04434589800443459	0.5116279069767442	2.6084466560010036	0.8969934353086526	0.021739130434782608	0.08695652173913043	0.0	0.07608695652173914	0.0	0.10869565217391304	0.09782608695652174
S01E02_chunk_008	es	Subtitles Data	conllu_chunks	11.088888888888889	0.06613226452905811	0.01603206412825651	0.01002004008016032	0.28888888888888886	0.0	0.0	0.0	0.0	0.17777777777777778	0.15555555555555556	0.13333333333333333	0.3406813627254509	0.9770114942528736	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.4888888888888889	0.28888888888888886	0.044444444444444446	0.37777777777777777	0.08888888888888889	0.06666666666666667	0.0	0.020833333333333332	0.0	0.3333333333333333	0.7555555555555555	0.4888888888888889	0.05811623246492986	0.5507246376811594	2.635325471550962	0.9840897356093434	0.03333333333333333	0.08888888888888889	0.0	0.08888888888888889	0.0	0.08888888888888889	0.14444444444444443
S01E02_chunk_009	es	Subtitles Data	conllu_chunks	10.76086956521739	0.052525252525252523	0.00808080808080808	0.010101010101010102	0.15217391304347827	0.0	0.0	0.0	0.0	0.21739130434782608	0.06521739130434782	0.17391304347826086	0.298989898989899	0.9801324503311258	0.0	0.0	1.2857142857142858	0.0	0.0	0.0	0.0	0.0	0.3695652173913043	0.2391304347826087	0.08695652173913043	0.2391304347826087	0.043478260869565216	0.043478260869565216	0.0	0.08163265306122448	0.0	0.34782608695652173	0.5434782608695652	0.6521739130434783	0.050505050505050504	0.48717948717948717	2.524180528432446	0.9544157060141716	0.03260869565217391	0.13043478260869565	0.0	0.07246376811594202	0.0	0.021739130434782608	0.06884057971014493
S01E02_chunk_010	es	Subtitles Data	conllu_chunks	10.418604651162791	0.05803571428571429	0.013392857142857142	0.017857142857142856	0.3023255813953488	0.0	0.0	0.0	0.0	0.11627906976744186	0.06976744186046512	0.23255813953488372	0.359375	0.9817073170731707	0.0	0.0	0.8142857142857143	0.0	0.0	0.0	0.0	0.0	0.37209302325581395	0.37209302325581395	0.11627906976744186	0.16279069767441862	0.09302325581395349	0.023255813953488372	0.0	0.09302325581395349	0.0	0.3023255813953488	0.6744186046511628	0.5348837209302325	0.022321428571428572	0.5106382978723404	2.633102620893318	0.9654921306084095	0.005813953488372093	0.10465116279069768	0.0	0.0755813953488372	0.0	0.0	0.27906976744186046
